Sukunimi,Yhteensä
Moring,121
Naamanka,121
Otranen,121
Polo,121
Pyöriä,121
Raikamo,121
Ravattinen,121
Riihimaa,121
Rintaluoma,121
Rosten,121
Ruohomaa,121
Sarvela,121
Sääksjärvi,121
Tikanoja,121
Vuorivirta,121
Äyräväinen,121
Bhandari,120
Breilin,120
Ihme,120
Ingström,120
Ivars,120
Joutsenlahti,120
Keltto,120
Kreus,120
Krigsholm,120
Kulpakko,120
Kälkäinen,120
Köhler,120
Leinikka,120
Leväinen,120
Matkaselkä,120
Myllyharju,120
Peurasaari,120
Puura,120
Raukko,120
Rautavaara,120
Remsu,120
Räisälä,120
Sarjanoja,120
Siekkeli,120
Silen,120
Sundfors,120
Tatti,120
Tavast,120
Teini,120
Valto,120
Vilo,120
Wallgren,120
Ylipelkonen,120
Ahoranta,119
Alaspää,119
Arajärvi,119
Bergdahl,119
Ceesay,119
Einiö,119
Ekonen,119
Fihlman,119
Granbacka,119
Hatara,119
Kalin,119
Karisalmi,119
Kingelin,119
Klemelä,119
Korander,119
Kottonen,119
Kytömaa,119
Kärpänen,119
Lahdensivu,119
Larinen,119
Lostedt,119
Mökkönen,119
Nordenswan,119
Oravala,119
Paulasaari,119
Peränen,119
Petman,119
Pyykölä,119
Rajalampi,119
Saarikettu,119
Salonius,119
Savikurki,119
Seppelin,119
Sirenius,119
Sointu,119
Sokero,119
Suojärvi,119
Suuriniemi,119
Talasmäki,119
Tupamäki,119
Urho,119
Viisanen,119
Adamsson,118
Aittoniemi,118
Dammert,118
Eerikkilä,118
Hammarén,118
Hannunen,118
Himmanen,118
Isoherranen,118
Juupaluoma,118
Järvistö,118
Karioja,118
Kaukanen,118
Koota,118
Korpivaara,118
Kujansivu,118
Kukkanen,118
Kulin,118
Lietzén,118
Lindelöf,118
Linjamäki,118
Mali,118
Näreaho,118
Pallas,118
Poussa,118
Puntala,118
Puusa,118
Pyhäluoto,118
Raikunen,118
Rannanjärvi,118
Reima,118
Sahala,118
Sahin,118
Simonaho,118
Tammivuori,118
Tarhanen,118
Tiljander,118
Tolkkinen,118
Toukonen,118
Toura,118
Vahter,118
Vapalahti,118
Veikkanen,118
Vihersaari,118
Virkamäki,118
Widell,118
Yliselä,118
Aarni,117
Adolfsson,117
Ajanki,117
Asukas,117
Blomgren,117
Bräysy,117
Faltin,117
Fyrqvist,117
Humppi,117
Hurula,117
Högbacka,117
Juka,117
Jylli,117
Kahlos,117
Karlberg,117
Keppo,117
Kiesilä,117
Kivipuro,117
Koivuaho,117
Kostian,117
Kursula,117
Latvalehto,117
Linde,117
Lähtevänoja,117
Martinez,117
Muurikainen,117
Ojutkangas,117
Puolimatka,117
Pyörre,117
Pääjärvi,117
Rova,117
Rydman,117
Rännäli,117
Sauna-aho,117
Siuko,117
Storbjörk,117
Taurén,117
Tervahartiala,117
Tienvieri,117
Tilander,117
Tillander,117
Tuulaniemi,117
Veteli,117
Vilonen,117
Wistbacka,117
Wulff,117
Wärn,117
Cavén,116
Dillström,116
Flöjt,116
Haahti,116
Hentula,116
Häll,116
Ilvesluoto,116
Jousi,116
Kalaoja,116
Kallioranta,116
Kopperoinen,116
Kuusrainen,116
Kämpe,116
Lapveteläinen,116
Lassus,116
Lehmusvirta,116
Lemetyinen,116
Löytönen,116
Otava,116
Palojoki,116
Perämaa,116
Pessala,116
Prusila,116
Rauhaniemi,116
Rikberg,116
Rinnetmäki,116
Ruikka,116
Santahuhta,116
Siili,116
Sonntag,116
Stengård,116
Stenmark,116
Stewart,116
Suomäki,116
Suotula,116
Svens,116
Toro,116
Vanhapiha,116
Vigren,116
Viherä,116
Vinkka,116
Visa,116
Visala,116
Värtö,116
Vääränen,116
Yildiz,116
Ylikojola,116
Ala,115
Autto,115
Avonius,115
Gräsbeck,115
Gylling,115
Hallman,115
Hannuniemi,115
Hautajoki,115
Heilimo,115
Helttula,115
Hokkinen,115
Hulmi,115
Hussi,115
Häger,115
Kastarinen,115
Katavisto,115
Kilpivaara,115
Korkalo,115
Kukkala,115
Kuosku,115
Kuva,115
Latomaa,115
Lundsten,115
Mahlakaarto,115
Marjomäki,115
Martelin,115
Martinkauppi,115
Pajuluoma,115
Peuhkurinen,115
Prusi,115
Purtilo,115
Ropo,115
Savelainen,115
Skaffari,115
Solla,115
Söderqvist,115
Timgren,115
Toriseva,115
Vakkari,115
Vihersalo,115
Wilhelmsson,115
Aarikka,114
Alahuhta,114
Alaruikka,114
Eskman,114
Forsgren,114
Günther,114
Inha,114
Janger,114
Jylhänkangas,114
Karkkola,114
Karppelin,114
Kivari,114
Kärmeniemi,114
Landen,114
Lastunen,114
Leikkainen,114
Lintukangas,114
Luomi,114
Lämpsä,114
Mantela,114
Norman,114
Osara,114
Osmala,114
Piittisjärvi,114
Porali,114
Rantalaiho,114
Rimpinen,114
Sauranen,114
Tapojärvi,114
Tikanmäki,114
Tumelius,114
Töykkälä,114
Viitakoski,114
Hellbom,113
Holmborg,113
Horto,113
Kadenius,113
Karilahti,113
Kelo,113
Koistila,113
Kortet,113
Koukonen,113
Lassander,113
Lehmusvaara,113
Leppihalme,113
Linnainmaa,113
Lippo,113
Luhtasela,113
Norring,113
Ollinen,113
Palén,113
Papinkivi,113
Porttila,113
Pulska,113
Putkuri,113
Rautalahti,113
Ruuhonen,113
Seurujärvi,113
Siven,113
Svarvar,113
Tolppa,113
Venemies,113
Ventola,113
Värtinen,113
Wilen,113
Ylisaari,113
Ylisuvanto,113
Ylläsjärvi,113
Allinen,112
Asunta,112
Bexar,112
Brännkärr,112
Dogan,112
Fred,112
Harmainen,112
Hillberg,112
Hindersson,112
Huopana,112
Keltamäki,112
Kiilunen,112
Korsman,112
Leiponen,112
Liljander,112
Linder,112
Littow,112
Ljung,112
Musse,112
Mäntykangas,112
Norrgrann,112
Nortunen,112
Paasivirta,112
Paloniitty,112
Pasula,112
Penttala,112
Peräaho,112
Pirttikangas,112
Roppola,112
Salonoja,112
Seuranen,112
Sievinen,112
Sohkanen,112
Telenius,112
Tengvall,112
Tigerstedt,112
Tuhkala,112
Turpela,112
Vallinen,112
Virenius,112
Virrankoski,112
Väärä,112
Abdulle,111
Ahto,111
Böhm,111
Carpelan,111
Eskonen,111
Fredman,111
Hattukangas,111
Huru,111
Jansén,111
Juoperi,111
Kantomaa,111
Karhukorpi,111
Kilpimaa,111
Kontoniemi,111
Kyntäjä,111
Kömi,111
Lehmuskallio,111
Långstedt,111
Mässeli,111
Orbinski,111
Paldan,111
Palttala,111
Pasto,111
Patteri,111
Piela,111
Piik,111
Piittinen,111
Puha,111
Päärni,111
Rantahalvari,111
Rosenback,111
Rumbin,111
Ruoppa,111
Saares,111
Schönberg,111
Siniluoto,111
Suontakanen,111
Tienari,111
Tuuva,111
Vaismaa,111
Vartiamäki,111
Vilkas,111
Välipakka,111
Välisalo,111
Väntsi,111
Yang,111
Ylikarjula,111
Aatola,110
Alinen,110
Borenius,110
Degerth,110
Haapapuro,110
Hallila,110
Herrgård,110
Honkamaa,110
Huida,110
Innala,110
Kaitajärvi,110
Kaltio,110
Kettukangas,110
Laatu,110
Lepikko,110
Läntinen,110
Malaska,110
Mölläri,110
Nurmiainen,110
Ojamaa,110
Oljemark,110
Palo-oja,110
Parkkamäki,110
Putila,110
Pälli,110
Reko,110
Sairio,110
Sandén,110
Saxberg,110
Sutelainen,110
Tanila,110
Thompson,110
Thusberg,110
Torro,110
Vahlroos,110
Vittaniemi,110
Ylitolva,110
Alaniemi,109
Alppi,109
Anttilainen,109
Bergendahl,109
Djupsjöbacka,109
Filpus,109
Förström,109
Gren,109
Helppolainen,109
Hoskonen,109
Huoman,109
Hurmalainen,109
Irjala,109
Kainlauri,109
Kajanne,109
Kalliosalo,109
Karim,109
Ketoja,109
Korjula,109
Kumlander,109
Kurola,109
Kutilainen,109
Kylmä,109
Laaksoharju,109
Laitonen,109
Laituri,109
Lindsten,109
Lintulahti,109
Mansikkaniemi,109
Matsi,109
Morko,109
Mönkäre,109
Neste,109
Niemiaho,109
Nordblom,109
Pasila,109
Pellikainen,109
Pohjoismäki,109
Pääaho,109
Richter,109
Riekko,109
Saarikangas,109
Selkee,109
Sipi,109
Sulkala,109
Takku,109
Toroskainen,109
Vuojärvi,109
Vähärautio,109
Åke,109
Alikoski,108
Aurala,108
Azizi,108
Brusin,108
Ekstrand,108
Falenius,108
Hattula,108
Havo,108
Helaakoski,108
Inki,108
Iskala,108
Itälä,108
Jolma,108
Kantele,108
Konkola,108
Kostamovaara,108
Källi,108
Lintinen,108
Lyhykäinen,108
Löyttyniemi,108
Mastosalo,108
Merilahti,108
Mäkkeli,108
Oivo,108
Opas,108
Puljujärvi,108
Rokkonen,108
Runsala,108
Saloheimo,108
Suursalmi,108
Tahvonen,108
Tasa,108
Töyräs,108
Vesterholm,108
Ahlstrand,107
Aksila,107
Arvilommi,107
Blomfelt,107
Brunou,107
Floman,107
Gran,107
Harsunen,107
Hauta,107
Ilkko,107
Jäderholm,107
Kaakkurivaara,107
Kangaskolkka,107
Kare,107
Kariluoto,107
Kassinen,107
Kiskonen,107
Knuutti,107
Koppelomäki,107
Korkia-aho,107
Kostilainen,107
Käpynen,107
Lange,107
Latvajärvi,107
Lillrank,107
Lundelin,107
Lyytikkä,107
Malmstedt,107
Mårtensson,107
Niittymaa,107
Ohls,107
Pantsu,107
Ristinen,107
Ruottu,107
Ruutikainen,107
Salimäki,107
Sarkanen,107
Schulz,107
Shala,107
Skogman,107
Sonne,107
Suolahti,107
Särs,107
Taberman,107
Timmerbacka,107
Tulisalo,107
Vilminko,107
Virrankari,107
Zetterman,107
Östberg,107
Alajuuma,106
Alopaeus,106
Berger,106
Bonn,106
Bredenberg,106
Casagrande,106
Garcia,106
Haaraoja,106
Hallinen,106
Havela,106
Hyppölä,106
Jahnsson,106
Kaukovalta,106
Kourunen,106
Kuitto,106
Kusmin,106
Käyrä,106
Lindkvist,106
Lunki,106
Malmgren,106
Matomäki,106
Maunumäki,106
Merenheimo,106
Mäkimaa,106
Mörö,106
Niemimaa,106
Ojakangas,106
Pirttijoki,106
Puroila,106
Pyyny,106
Saali,106
Saarenheimo,106
Saarivuori,106
Siliämaa,106
Skrifvars,106
Sysmäläinen,106
Talala,106
Trast,106
Uppa,106
Uurinmäki,106
Vaija,106
Vallila,106
Vihervirta,106
Vihtari,106
Öling,106
Filppu,105
Hagner,105
Hahtokari,105
Hatula,105
Heini,105
Hento,105
Hievanen,105
Hilonen,105
Hirvijärvi,105
Honkimaa,105
Inkeri,105
Joro,105
Kaitanen,105
Kangasperko,105
Katajamaa,105
Kause,105
Killström,105
Koivulehto,105
Koivuneva,105
Lasonen,105
Lindborg,105
Lindbäck,105
Linja,105
Mahmood,105
Malja,105
Mitikka,105
Mutta,105
Nevasaari,105
Okker,105
Pietola,105
Poikselkä,105
Pukari,105
Pukema,105
Pörhölä,105
Romunen,105
Santaniemi,105
Saxén,105
Solismaa,105
Suojala,105
Tihveräinen,105
Tiili,105
Tupeli,105
Vauhkala,105
Viitavaara,105
Vilkkilä,105
Åkerholm,105
Anjala,104
Aulin,104
Enojärvi,104
Huldin,104
Itäniemi,104
Kaakko,104
Kaisko,104
Kinni,104
Kivineva,104
Korkee,104
Koste,104
Kotaniemi,104
Kotikangas,104
Kourula,104
Kössi,104
Landström,104
Laukas,104
Lehtolainen,104
Lewis,104
Lindbom,104
Lintilä,104
Maanselkä,104
Malmlund,104
Markoff,104
Mustasilta,104
Nokkanen,104
Parkkola,104
Piisilä,104
Prokkola,104
Pykälämäki,104
Raisio,104
Riuttamäki,104
Ruostetsaari,104
Rökman,104
Seikola,104
Skantz,104
Svanberg,104
Tanttari,104
Tervanen,104
Tiura,104
Virkajärvi,104
Westerling,104
Widberg,104
Ylitolonen,104
Ademi,103
Ahlblad,103
Ahveninen,103
Backas,103
Dyster,103
Ehrnsten,103
Gottberg,103
Hanhivaara,103
Hautakorpi,103
Hautalampi,103
Heusala,103
Huhdanmäki,103
Huiskonen,103
Junnonaho,103
Jyrkiäinen,103
Kallberg,103
Kauttio,103
Keskiaho,103
Kiikeri,103
Kuusiluoma,103
Kyrkkö,103
Lalu,103
Lecklin,103
Matinlompolo,103
Onikki,103
Paksuniemi,103
Parvinen,103
Pihkakoski,103
Pirkkanen,103
Pirttiaho,103
Rantio,103
Raula,103
Ristaniemi,103
Ruokangas,103
Rönni,103
Sheikh,103
Strandell,103
Söderbacka,103
Taivalmäki,103
Teerikangas,103
Tynninen,103
Valovirta,103
Vesterberg,103
Vihma,103
Vikkula,103
Voltti,103
Vuorensyrjä,103
Österåker,103
Appelgren,102
Björksten,102
Brotkin,102
Glader,102
Harjamäki,102
Hyrsky,102
Jaanu,102
Juottonen,102
Kailio,102
Kalijärvi,102
Karkkonen,102
Kataikko,102
Kaulio,102
Kehus,102
Kräkin,102
Kuivasniemi,102
Kullström,102
Lahdensuu,102
Lapinniemi,102
Lusa,102
Långbacka,102
Matinaho,102
Monthan,102
Neitola,102
Nippala,102
Nääppä,102
Pajuoja,102
Patanen,102
Paunu,102
Penninkangas,102
Pihlajasalo,102
Rehmonen,102
Remahl,102
Risberg,102
Robinson,102
Schulman,102
Sidoroff,102
Siuvatti,102
Strömsholm,102
Sved,102
Swanljung,102
Taavela,102
Tall,102
Talvi,102
Thurén,102
Törönen,102
Viirumäki,102
Virtaniemi,102
Vuontisjärvi,102
Väisälä,102
Österback,102
Ahosola,101
Bastman,101
Cederström,101
Harsia,101
Hellstedt,101
Hämälä,101
Ilmoniemi,101
Jafari,101
Jokivuori,101
Kajaste,101
Kangaskoski,101
Kangaspunta,101
Keväänranta,101
Kietäväinen,101
Kiljala,101
Kirvesoja,101
Konttaniemi,101
Krapu,101
Kulha,101
Kuusirati,101
Kyyriäinen,101
Laajalahti,101
Lamminsalo,101
Lehtimaa,101
Linnamäki,101
Luopa,101
Maarala,101
Mild,101
Muje,101
Piekkala,101
Piirala,101
Prami,101
Pätynen,101
Rantakaulio,101
Reivonen,101
Romberg,101
Sahari,101
Sara-aho,101
Selänne,101
Soivio,101
Suntila,101
Takatalo,101
Toiminen,101
Tsutsunen,101
Vaitiniemi,101
Vihko,101
Weman,101
Wiman,101
Ylitervo,101
Åvall,101
Ölander,101
Aartolahti,100
Ahvenus,100
Alasuvanto,100
Anttolainen,100
Bauer,100
Bovellan,100
Dinh,100
Gunell,100
Harala,100
Harja,100
Heinikangas,100
Helmi,100
Himmelroos,100
Hinkula,100
Holkeri,100
Holtinkoski,100
Hossaini,100
Huitula,100
Hydén,100
Joenperä,100
Jokilahti,100
Jokivirta,100
Juutila,100
Kalavainen,100
Kandelin,100
Kangasoja,100
Kannas,100
Kantala,100
Karevaara,100
Karhusaari,100
Karimi,100
Keto-Tokoi,100
Kuivinen,100
Kyllinen,100
Lidman,100
Maanpää,100
Matela,100
Mettinen,100
Nipuli,100
Nuttunen,100
Pajumäki,100
Panu,100
Piesanen,100
Putaala,100
Rajajärvi,100
Rasinen,100
Ridanpää,100
Rouvari,100
Saijets,100
Salmensuo,100
Savunen,100
Silmu,100
Sinko,100
Sjölind,100
Sumiloff,100
Sundsten,100
Thesslund,100
Tuhkalainen,100
Tuohimäki,100
Törnvall,100
Vesteri,100
Viinikkala,100
Vistbacka,100
Västi,100
Ylisaukko-oja,100
Airisto,99
Alapuranen,99
Alitupa,99
Fagernäs,99
Havunen,99
Houtsonen,99
Iitti,99
Irri,99
Kastari,99
Katisko,99
Kuivas,99
Laaksovirta,99
Lakela,99
Lampio,99
Liikonen,99
Lönnrot,99
Mankonen,99
Marjakoski,99
Melamies,99
Mickos,99
Neijonen,99
Nuur,99
Nätti,99
Onttonen,99
Rannanpää,99
Rivinoja,99
Runonen,99
Smulter,99
Spännäri,99
Stubb,99
Sulku,99
Suninen,99
Sämpi,99
Tallus,99
Tillanen,99
Toratti,99
Vihermaa,99
Vihlman,99
Villgren,99
Väihkönen,99
Välkky,99
Wu,99
Åvist,99
Österblad,99
Alaoja,98
Anttiroiko,98
Björkstrand,98
Esala,98
Front,98
Ginman,98
Hekkanen,98
Jaaranen,98
Jarvansalo,98
Juvela,98
Järvenkylä,98
Kaapro,98
Kangasjärvi,98
Kerälä,98
Kihlman,98
Kirjanen,98
Kivikari,98
Koivulampi,98
Kotti,98
Kukonlehto,98
Kuorelahti,98
Laitiainen,98
Lasarov,98
Latvasalo,98
Luomanperä,98
Mesimäki,98
Monni,98
Monola,98
Muurman,98
Mäcklin,98
Mäki-Turja,98
Mörn,98
Niini,98
Nordbäck,98
Näse,98
Oilinki,98
Oravakangas,98
Paalijärvi,98
Piuva,98
Pohjaranta,98
Popov,98
Potinkara,98
Rautjärvi,98
Riittinen,98
Ritakorpi,98
Roman,98
Rössi,98
Saarilampi,98
Saatsi,98
Sabel,98
Sahlgren,98
Sharifi,98
Stålnacke,98
Sulo,98
Syvälahti,98
Teuho,98
Träff,98
Vaaja,98
Valkjärvi,98
Vasala,98
Vihervä,98
Viinikanoja,98
Vikholm,98
Vuorjoki,98
Väätämöinen,98
Wesslin,98
Widjeskog,98
Wihlman,98
Alakopsa,97
Alakurtti,97
Alam,97
Andström,97
Aspelund,97
Baas,97
Dahlén,97
Haaga,97
Haapajoki,97
Halko,97
Hillo,97
Huhtamaa,97
Huhti,97
Högnäs,97
Id,97
Illukka,97
Jyllilä,97
Jönsson,97
Kaarlenkaski,97
Kaatrasalo,97
Kalsi,97
Kansanoja,97
Kauttu,97
Knaappila,97
Kolhonen,97
Kontiola,97
Kruus,97
Kulojärvi,97
Kykyri,97
Lehmikangas,97
Lehtineva,97
Liutu,97
Luopajärvi,97
Mansnerus,97
Mäki-Mantila,97
Nielikäinen,97
Nukala,97
Nurhonen,97
Nylén,97
Pankkonen,97
Parta,97
Poola,97
Putto,97
Pätilä,97
Sassali,97
Stjernvall,97
Sunikka,97
Säävälä,97
Tilvis,97
Tähtelä,97
Törnström,97
Vaari,97
Valtola,97
Veräjänkorva,97
Viipuri,97
Vilppo,97
Välinen,97
Wahlstedt,97
Werner,97
Ylitapio,97
Ånäs,97
Ala-Poikela,96
Artell,96
Blinnikka,96
Busk,96
Campbell,96
Degerholm,96
Duong,96
Erlund,96
Evans,96
Flemming,96
Grekula,96
Guled,96
Haponen,96
Heine,96
Hemmi,96
Henttula,96
Hersi,96
Holtari,96
Horsma,96
Huohvanainen,96
Ihantola,96
Iho,96
Jonasson,96
Juntikka,96
Järvenmäki,96
Jäärni,96
Kalander,96
Kanala,96
Karikko,96
Karjanmaa,96
Karkulehto,96
Kelander,96
Kieksi,96
Kling,96
Kohtanen,96
Kortekangas,96
Kuusio,96
Lamsijärvi,96
Linjala,96
Luode,96
Luoti,96
Lähteelä,96
Mattfolk,96
Miskala,96
Mustaparta,96
Nelson,96
Nora,96
Ojamäki,96
Palmberg,96
Piha,96
Piilinen,96
Pykälistö,96
Raiskinmäki,96
Rajavaara,96
Rajavuori,96
Rautaoja,96
Risikko,96
Ruokojärvi,96
Rönnkvist,96
Skoglund,96
Sorola,96
Soukko,96
Tantarimäki,96
Uusi-Pohjola,96
Vaaramaa,96
Änäkkälä,96
Abukar,95
Aittamaa,95
Aliranta,95
Andrejeff,95
Björnholm,95
Blomstedt,95
Buss,95
Cederqvist,95
Forsbom,95
Gillberg,95
Harvala,95
Hashemi,95
Hashi,95
Havas,95
Ingalsuo,95
Jaala,95
Jung,95
Jusslin,95
Kalaja,95
Kaminen,95
Kaurila,95
Kempe,95
Kiiala,95
Kolomainen,95
Kottila,95
Krohns,95
Kurt,95
Lauhikari,95
Lepo,95
Liisanantti,95
Linkola,95
Logren,95
Mahosenaho,95
Malmelin,95
Meller,95
Muraja,95
Mäkivirta,95
Nilsen,95
Pakalén,95
Pankka,95
Pernaa,95
Petersen,95
Pinomaa,95
Pohtila,95
Pått,95
Remonen,95
Röman,95
Sahlstedt,95
Sahlsten,95
Sandin,95
Santasalo,95
Satama,95
Schalin,95
Selkämaa,95
Siippainen,95
Siltamäki,95
Sottinen,95
Ståhlström,95
Suleiman,95
Svenn,95
Sydänmetsä,95
Turpeenniemi,95
Uitti,95
Valanne,95
Wirman,95
Österbacka,95
Adan,94
Alavuotunki,94
Arab,94
Aska,94
Blomström,94
Hakunti,94
Hanhiniemi,94
Hautamaa,94
Hed,94
Hellevaara,94
Hiekkavirta,94
Hummasti,94
Hylkilä,94
Högnabba,94
Höynälä,94
Jälkö,94
Kamsula,94
Kaunismaa,94
Keskiniva,94
Kronberg,94
Kuhalampi,94
Kuusimurto,94
Kylander,94
Lampikoski,94
Lapiolahti,94
Melender,94
Mukka,94
Mursula,94
Nauska,94
Nordfors,94
Oesch,94
Paadar,94
Palmqvist,94
Papinniemi,94
Pikkumäki,94
Pouru,94
Puolamäki,94
Pähtilä,94
Pääskynen,94
Pöntiö,94
Rahtu,94
Ronkonen,94
Ruohio,94
Råstedt,94
Saleh,94
Sellman,94
Siiriäinen,94
Staffans,94
Stellberg,94
Säärelä,94
Tiinanen,94
Ulenius,94
Uusipaikka,94
Vallinkoski,94
Yli-Hukka,94
Abdirahman,93
Brummer,93
Davis,93
Edgren,93
Esselström,93
Granfelt,93
Hanhijärvi,93
Heikkurinen,93
Hiirikoski,93
Isoranta,93
Jaaksi,93
Kalinainen,93
Kauramäki,93
Kelhä,93
Korpijaakko,93
Kreander,93
Krogell,93
Kulta,93
Kylmälahti,93
Källström,93
Lampen,93
Leijala,93
Leppikorpi,93
Lumio,93
Luoranen,93
Malmivuori,93
Maronen,93
Metsi,93
Mielityinen,93
Musikka,93
Myrskog,93
Pastila,93
Punta,93
Pykäri,93
Renholm,93
Riivari,93
Ritakallio,93
Rojo,93
Rousi,93
Sakkara,93
Saksanen,93
Siiki,93
Soila,93
Soramäki,93
Stenudd,93
Suikka,93
Svan,93
Taittonen,93
Tarkkala,93
Touronen,93
Tuittu,93
Tyrmi,93
Töytäri,93
Ukura,93
Vannas,93
Vattula,93
Vellamo,93
Viherkoski,93
Wainio,93
Wirta,93
Wrede,93
Yppärilä,93
Ärväs,93
Ala-Kokko,92
Brofeldt,92
Bågman,92
Ericsson,92
Gestranius,92
Hankilanoja,92
Hevonoja,92
Hirvasoja,92
Iikkanen,92
Järn,92
Karhi,92
Karkiainen,92
Korsström,92
Kotkavuori,92
Kukkasniemi,92
Kuurila,92
Laurio,92
Lepikkö,92
Lohman,92
Mella,92
Mether,92
Mettiäinen,92
Miftari,92
Montin,92
Mustakoski,92
Niilola,92
Notkola,92
Parkatti,92
Perälampi,92
Piiponniemi,92
Putro,92
Rantasuo,92
Rautasalo,92
Regina,92
Rein,92
Reinvall,92
Rodriguez,92
Rotko,92
Röning,92
Saarman,92
Salojensaari,92
Savijoki,92
Sergejeff,92
Severinkangas,92
Sippu,92
Sundén,92
Tankka,92
Tohka,92
Toikander,92
Törmi,92
Valkamo,92
Vuolli,92
Walli,92
Ahtila,91
Akujärvi,91
Ansala,91
Auno,91
Brunberg,91
Eho,91
Enbuske,91
Enroos,91
Haaramo,91
Halt,91
Halunen,91
Havula,91
Heiliö,91
Helkkula,91
Helske,91
Hernetkoski,91
Ho,91
Holmbäck,91
Hussa,91
Häkki,91
Javarus,91
Jokitulppo,91
Jolanki,91
Jäkkö,91
Kahari,91
Kuntola,91
Kylmäoja,91
Lesch,91
Limingoja,91
Ljunggren,91
Loippo,91
Luikku,91
Maaniitty,91
Mehtomaa,91
Metsomäki,91
Myrsky,91
Mäki-Petäjä,91
Nummikoski,91
Nysten,91
Olsbo,91
Paasikoski,91
Palovuori,91
Paski,91
Poikulainen,91
Pöyhölä,91
Raami,91
Rahkila,91
Ralli,91
Ramula,91
Reuter,91
Riihilahti,91
Rosendal,91
Scott,91
Sjö,91
Tillonen,91
Tuomivirta,91
Ukskoski,91
Uusikylä,91
Vallivaara,91
Veini,91
Veltheim,91
Verkasalo,91
Viianen,91
Viio,91
Viitamaa,91
Währn,91
Östlund,91
Ahjoniemi,90
Dolk,90
Finneman,90
Ginström,90
Hakalax,90
Helkamäki,90
Helve,90
Holst,90
Häme,90
Jauhonen,90
Johanson,90
Jomppanen,90
Junkala,90
Juslenius,90
Kalilainen,90
Kares,90
Karnaattu,90
Kasvi,90
Kiander,90
Krouvi,90
Kultima,90
Laitanen,90
Lapatto,90
Latosaari,90
Lehtivuori,90
Liljekvist,90
Liminka,90
Lithén,90
Loukko,90
Mahdi,90
Mallenius,90
Mangs,90
Martonen,90
Murtoperä,90
Mäenranta,90
Mäntykivi,90
Möttö,90
Nystrand,90
Näätsaari,90
Ojantakanen,90
Oljakka,90
Paavonen,90
Pakisjärvi,90
Palokas,90
Parri,90
Perander,90
Petrova,90
Pilpola,90
Pylkkä,90
Pöhö,90
Pönniö,90
Raunila,90
Rautiala,90
Rinteelä,90
Roimola,90
Romar,90
Ryökäs,90
Samanen,90
Savikuja,90
Seitz,90
Suonsivu,90
Suosalo,90
Svanström,90
Syväluoma,90
Tahko,90
Talso,90
Tervasmäki,90
Tiistola,90
Torpo,90
Truong,90
Uuskoski,90
Vankka,90
Vieltojärvi,90
Vuorilehto,90
Vuorimies,90
Väliviita,90
Ward,90
White,90
Ylianttila,90
Abbas,89
Agge,89
Ahlö,89
Ansas,89
Asumaniemi,89
Attila,89
Bergfors,89
Brunell,89
Buska,89
Clark,89
Gill,89
Gull,89
Haaksluoto,89
Havulehto,89
Hietasalo,89
Hiivala,89
Holmkvist,89
Ipatti,89
Jussinmäki,89
Juuri,89
Kansonen,89
Karhila,89
Kekoni,89
Köntti,89
Liewendahl,89
Loppukaarre,89
Maasalo,89
Mansikkala,89
Metsämuuronen,89
Nordblad,89
Nuri,89
Paakinaho,89
Pajanen,89
Pienmunne,89
Pirneskoski,89
Puntila,89
Pusenius,89
Rautelin,89
Ring,89
Rojola,89
Ruonakangas,89
Ruuhimäki,89
Ryhtä,89
Sandman,89
Sarparanta,89
Snabb,89
Suurhasko,89
Tenhovuori,89
Törö,89
Ukonmaanaho,89
Uskali,89
Valppu,89
Vanttaja,89
Välkki,89
Öman,89
Andberg,88
Borisov,88
Bulut,88
Böling,88
Davies,88
Ehrola,88
Elers,88
Haji,88
Harald,88
Hellemaa,88
Hernesaho,88
Hoikkanen,88
Jakkula,88
Jankkila,88
Jaukkuri,88
Jokisaari,88
Jähi,88
Kaivo-oja,88
Kandolin,88
Kaukkila,88
Kellberg,88
Khalil,88
Koljander,88
Kortman,88
Koski-Vähälä,88
Kummunmäki,88
Kuopio,88
Kylmäaho,88
Kytökorpi,88
Lillberg,88
Long,88
Lusenius,88
Lääkkölä,88
Malkavaara,88
Miekka,88
Mustalammi,88
Mutkala,88
Muuriaisniemi,88
Mäntyjärvi,88
Napari,88
Niiniviita,88
Noori,88
Nuolikoski,88
Othman,88
Peuralahti,88
Puharinen,88
Pyysing,88
Rantamaula,88
Ristiharju,88
Roivanen,88
Rolig,88
Rosbäck,88
Ruokoja,88
Sakala,88
Salko,88
Saurio,88
Seipäjärvi,88
Sibakov,88
Siilin,88
Stam,88
Stedt,88
Säippä,88
Tenno,88
Thodén,88
Turtola,88
Tuulos,88
Töllikkö,88
Töyli,88
Urponen,88
Uurtamo,88
Virola,88
Westin,88
Wood,88
Yrjälä,88
Ahonpää,87
Aulén,87
Aziz,87
Borgmästars,87
Chan,87
Collanus,87
Finnäs,87
Gerdt,87
Glasberg,87
Grip,87
Groop,87
Haakanen,87
Hardén,87
Havumäki,87
Hietava,87
Hindström,87
Honkaharju,87
Hotokka,87
Hypén,87
Iisakkala,87
Itänen,87
Jackson,87
Joukanen,87
Joutsiniemi,87
Karenius,87
Karsikko,87
Karsten,87
Korpunen,87
Kortteinen,87
Kovasiipi,87
Lagerblom,87
Löhönen,87
Maaskola,87
Mansukoski,87
Mentu,87
Mieskolainen,87
Mikonsaari,87
